B40電流,ビーム電流,GL電流,コメント,時刻,mainGas設定値(cc/min),mainGasモニター(cc/min),supportGas設定,supportGasモニター,Iecrモニター(mA),Vecr設定値(KV),V_ecrモニター(KV),I_biasモニター(mA),V_bias設定値(V),V_biasモニター(V),ｺｲﾙ1電流設定値(A),ｺｲﾙ2電流設定値(A),ｺｲﾙ3電流設定値(A),ｺｲﾙ4電流設定値(A),ｺｲﾙ5電流設定値(A),ｺｲﾙ6電流設定値(A),ｺｲﾙ7電流設定値(A),ｺｲﾙ8電流設定値(A),ｺｲﾙ1電流モニター(A),ｺｲﾙ2電流モニター(A),ｺｲﾙ3電流モニター(A),ｺｲﾙ4電流モニター(A),ｺｲﾙ5電流モニター(A),ｺｲﾙ6電流モニター(A),ｺｲﾙ7電流モニター(A),ｺｲﾙ8電流モニター(A),Pf(W),Pｒ(W),6極冷却水流量(l/min),6極冷却水温度(℃),2nd冷却水流量(l/min),2nd冷却水温度(℃),真空度1,真空度2,真空度3,gas_old設定,gas_oldモニター
,,,600W 37deg  nv 5 supportO2 0.03 sccm  Bias 950V,2020/09/29 20:20:53,0.000000,2E-05,0.000000,0.000000,0.493000,0.000000,0.759000,0.040000,0.000000,-0.350000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,214.924275,225.957775,0.022950,22.250250,0.029400,22.666050,3.800500,3.880000,0.000000,-0.098240,0.000440
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.000000,-3.067426E-09,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.000000,-5.715701E-09,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.000000,-4.40109E-09,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.000000,-3.75331E-09,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.000000,-4.020043E-09,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.000000,-4.705927E-09,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.000000,-3.086479E-09,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.005000,-2.705432E-09,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.476000,-4.820241E-09,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.864000,-3.200793E-09,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.130000,-3.619944E-09,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.474000,-2.495856E-09,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.641000,-4.191514E-09,0.538000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.876000,-3.696153E-09,5.923000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.074000,-3.238897E-09,11.923000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.066000,-3.010269E-09,19.615000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.066000,-2.229123E-09,25.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.069000,-3.238897E-09,30.230000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.071000,-3.524682E-09,37.076000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.087000,-3.486578E-09,47.538000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.087000,-4.210566E-09,47.769000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.100000,-6.020538E-09,47.692000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.100000,-4.020043E-09,47.692000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.110000,-4.40109E-09,48.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.110000,-3.219845E-09,48.076000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.123000,-4.763084E-09,48.384000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.123000,-4.210566E-09,48.384000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.135000,-6.458742E-09,48.615000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.143000,-5.372759E-09,48.846000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.143000,-5.106026E-09,48.923000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.156000,-5.372759E-09,48.923000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.156000,-7.316097E-09,49.153000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.164000,-4.172462E-09,49.384000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.176000,-5.334654E-09,49.615000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.179000,-5.334654E-09,49.615000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.179000,-6.420637E-09,49.769000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.192000,-5.753806E-09,50.153000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.197000,-5.54423E-09,50.307000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.205000,-6.515899E-09,50.307000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.205000,-5.601387E-09,50.538000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.217000,-6.1158E-09,50.692000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.220000,-7.049365E-09,50.692000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.228000,-5.944329E-09,51.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.235000,-7.144626E-09,51.230000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.241000,-6.43969E-09,51.307000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.246000,-8.287766E-09,51.538000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.251000,-6.649266E-09,51.692000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.256000,-7.201783E-09,51.769000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.264000,-8.021034E-09,52.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.271000,-7.468516E-09,52.153000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.276000,-7.354202E-09,52.153000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.276000,-7.068417E-09,52.461000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.287000,-6.43969E-09,52.615000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.292000,-7.639987E-09,52.769000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.300000,-6.077695E-09,52.846000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.307000,-9.316593E-09,53.076000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
